date,time,teama,teamb,teama_score,teamb_score,scoresheet
10/16/2019,7pm,1,2,63,65,https://drive.google.com/open?id=11vohLrngGhqc0ISaJIPB5QhqLCWEIANl
10/16/2019,8pm,3,4,45,78,https://drive.google.com/open?id=1-wkwG8WWJUE1Pe1rtxkyS1q3BSzlnQU-
10/23/2019,7pm,1,4,50,44,https://drive.google.com/open?id=11s3yIHBhcd6EijRFUZwm7EAx5CziAtUX
10/23/2019,8pm,2,3,66,61,https://drive.google.com/open?id=11u5I-xBDvLO6mTB9nhU_U3T2ZsSl3FHP
10/30/2019,7pm,1,3,,,
10/30/2019,8pm,2,4,,,
11/6/2019,7pm,3,4,,,
11/6/2019,8pm,1,2,,,
11/13/2019,7pm,2,3,,,
11/13/2019,8pm,1,4,,,
11/20/2019,7pm,2,4,,,
11/20/2019,8pm,1,3,,,
12/4/2019,7pm,1,2,,,
12/4/2019,8pm,3,4,,,
12/11/2019,7pm,1,4,,,
12/11/2019,8pm,2,3,,,
12/18/2019,7pm,1,3,,,
12/18/2019,8pm,2,4,,,
1/8/2020,7pm,3,4,,,
1/8/2020,8pm,1,2,,,
1/15/2020,7pm,2,3,,,
1/15/2020,8pm,1,4,,,
1/22/2020,7pm,2,4,,,
1/22/2020,8pm,1,3,,,
1/29/2020,7pm,1,2,,,
1/29/2020,8pm,3,4,,,
2/5/2020,7pm,1,4,,,
2/5/2020,8pm,2,3,,,
2/12/2020,7pm,1,3,,,
2/12/2020,8pm,2,4,,,
2/19/2020,7pm,3,4,,,
2/19/2020,8pm,1,2,,,
2/26/2020,7pm,2,3,,,
2/26/2020,8pm,1,4,,,
3/4/2020,7pm,2,4,,,
3/4/2020,8pm,1,3,,,
3/11/2020,7pm,1,2,,,
3/11/2020,8pm,3,4,,,
3/18/2020,7pm,1,4,,,
3/18/2020,8pm,2,3,,,
3/25/2020,7pm,1,3,,,
3/25/2020,8pm,2,4,,,
4/1/2020,7pm,1,4,,,
4/1/2020,8pm,2,3,,,
4/8/2020,7pm,,,,,
4/8/2020,8pm,,,,,
4/15/2020,7pm,,,,,
4/15/2020,8pm,,,,,
